commune,district,region,province
Ambohimangakely,Antananarivo Avaradrano,Analamanga,Antananarivo
Manandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohimalaza Miray,Antananarivo Avaradrano,Analamanga,Antananarivo
Fiaferana,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohimanga Rova,Antananarivo Avaradrano,Analamanga,Antananarivo
Viliahazo,Antananarivo Avaradrano,Analamanga,Antananarivo
Talata Volonondry,Antananarivo Avaradrano,Analamanga,Antananarivo
Anjeva Gara,Antananarivo Avaradrano,Analamanga,Antananarivo
Masindray,Antananarivo Avaradrano,Analamanga,Antananarivo
Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
6e Arrondissement,6e Arrondissement,Analamanga,Antananarivo
Alasora,Antananarivo Avaradrano,Analamanga,Antananarivo
Ankadikely Ilafy,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohimanambola,Antananarivo Avaradrano,Analamanga,Antananarivo
Sabotsy Namehana,Antananarivo Avaradrano,Analamanga,Antananarivo
Ambatolampy,Ambohidratrimo,Analamanga,Antananarivo
Ampangabe,Ambohidratrimo,Analamanga,Antananarivo
Ampanotokana,Ambohidratrimo,Analamanga,Antananarivo
Mananjara,Ambohidratrimo,Analamanga,Antananarivo
Manjakavaradrano,Ambohidratrimo,Analamanga,Antananarivo
Ivato Firaisana,Ambohidratrimo,Analamanga,Antananarivo
Ivato Aeroport,Ambohidratrimo,Analamanga,Antananarivo
Ambohitrimanjaka,Ambohidratrimo,Analamanga,Antananarivo
Mahitsy,Ambohidratrimo,Analamanga,Antananarivo
Merimandroso,Ambohidratrimo,Analamanga,Antananarivo
Ambohidratrimo,Ambohidratrimo,Analamanga,Antananarivo
Anosiala,Ambohidratrimo,Analamanga,Antananarivo
Talatamaty,Ambohidratrimo,Analamanga,Antananarivo
Antehiroka,Ambohidratrimo,Analamanga,Antananarivo
Iarinarivo,Ambohidratrimo,Analamanga,Antananarivo
1er Arrondissement,1er Arrondissement,Analamanga,Antananarivo
2e Arrondissement,2e Arrondissement,Analamanga,Antananarivo
3e Arrondissement,3e Arrondissement,Analamanga,Antananarivo
4e Arrondissement,4e Arrondissement,Analamanga,Antananarivo
5e Arrondissement,5e Arrondissement,Analamanga,Antananarivo
Antsahafilo,Ambohidratrimo,Analamanga,Antananarivo
Ambohimanjaka,Ambohidratrimo,Analamanga,Antananarivo
Fiadanana,Ambohidratrimo,Analamanga,Antananarivo
Mahabo,Ambohidratrimo,Analamanga,Antananarivo
Mahereza,Ambohidratrimo,Analamanga,Antananarivo
