district,region,province
1er Arrondissement,Analamanga,Antananarivo
2e Arrondissement,Analamanga,Antananarivo
3e Arrondissement,Analamanga,Antananarivo
4e Arrondissement,Analamanga,Antananarivo
5e Arrondissement,Analamanga,Antananarivo
6e Arrondissement,Analamanga,Antananarivo
Antananarivo Avaradrano,Analamanga,Antananarivo
Ambohidratrimo,Analamanga,Antananarivo
Ankazobe,Analamanga,Antananarivo
Manjakandriana,Analamanga,Antananarivo
Anjozorobe,Analamanga,Antananarivo
Andramasina,Analamanga,Antananarivo
Antananarivo Atsimondrano,Analamanga,Antananarivo
Antsirabe I,Vakinankaratra,Antananarivo
Betafo,Vakinankaratra,Antananarivo
Fianarantsoa I,Matsiatra Ambony,Fianarantsoa
Ambalavao,Matsiatra Ambony,Fianarantsoa
Ambohimahasoa,Matsiatra Ambony,Fianarantsoa
Ikalamavony,Matsiatra Ambony,Fianarantsoa
Lalangina,Matsiatra Ambony,Fianarantsoa
Arivonimamo,Itasy,Antananarivo
Miarinarivo,Itasy,Antananarivo
Soavinandriana,Itasy,Antananarivo
Tsiroanomandidy,Bongolava,Antananarivo
Fenoarivobe,Bongolava,Antananarivo
Manandriana,Amoron'i Mania,Fianarantsoa
Ifanadiana,Vatovavy,Fianarantsoa
Nosy-Varika,Vatovavy,Fianarantsoa
Mananjary,Vatovavy,Fianarantsoa
Manakara Atsimo,Fitovinany,Fianarantsoa
Ambatolampy,Vakinankaratra,Antananarivo
Antanifotsy,Vakinankaratra,Antananarivo
Faratsiho,Vakinankaratra,Antananarivo
Antsirabe II,Vakinankaratra,Antananarivo
Mandoto,Vakinankaratra,Antananarivo
Ikongo,Fitovinany,Fianarantsoa
Vohipeno,Fitovinany,Fianarantsoa
Ihosy,Ihorombe,Fianarantsoa
Ivohibe,Ihorombe,Fianarantsoa
Iakora,Ihorombe,Fianarantsoa
Vohibato,Matsiatra Ambony,Fianarantsoa
Isandra,Matsiatra Ambony,Fianarantsoa
Ambatofinandrahana,Amoron'i Mania,Fianarantsoa
Ambositra,Amoron'i Mania,Fianarantsoa
Fandriana,Amoron'i Mania,Fianarantsoa
Toamasina I,Atsinanana,Toamasina
Brickaville,Atsinanana,Toamasina
Vatomandry,Atsinanana,Toamasina
Mahanoro,Atsinanana,Toamasina
Marolambo,Atsinanana,Toamasina
Farafangana,Atsimo-Atsinanana,Fianarantsoa
Vangaindrano,Atsimo-Atsinanana,Fianarantsoa
Midongy-Atsimo,Atsimo-Atsinanana,Fianarantsoa
Vondrozo,Atsimo-Atsinanana,Fianarantsoa
Befotaka,Atsimo-Atsinanana,Fianarantsoa
Toamasina II,Atsinanana,Toamasina
Antanambao Manampontsy,Atsinanana,Toamasina
Sainte Marie,Analanjirofo,Toamasina
Maroantsetra,Ambatosoa,Toamasina
Mananara-Avaratra,Ambatosoa,Toamasina
Fenerive Est,Analanjirofo,Toamasina
Vavatenina,Analanjirofo,Toamasina
Soanierana Ivongo,Analanjirofo,Toamasina
Amparafaravola,Alaotra-Mangoro,Toamasina
Ambatondrazaka,Alaotra-Mangoro,Toamasina
Moramanga,Alaotra-Mangoro,Toamasina
Andilamena,Alaotra-Mangoro,Toamasina
Anosibe-An'ala,Alaotra-Mangoro,Toamasina
Mahajanga I,Boeny,Mahajanga
Soalala,Boeny,Mahajanga
Ambato Boeni,Boeny,Mahajanga
Marovoay,Boeny,Mahajanga
Mitsinjo,Boeny,Mahajanga
Mahajanga II,Boeny,Mahajanga
Port-Berge (Boriziny-Vaovao),Sofia,Mahajanga
Mandritsara,Sofia,Mahajanga
Analalava,Sofia,Mahajanga
Befandriana Nord,Sofia,Mahajanga
Antsohihy,Sofia,Mahajanga
Bealanana,Sofia,Mahajanga
Ambatomainty,Melaky,Mahajanga
Antsalova,Melaky,Mahajanga
Maintirano,Melaky,Mahajanga
Morafenobe,Melaky,Mahajanga
Toliary-I,Atsimo-Andrefana,Toliara
Sakaraha,Atsimo-Andrefana,Toliara
Toliary-II,Atsimo-Andrefana,Toliara
Benenitra,Atsimo-Andrefana,Toliara
Beloha,Androy,Toliara
Tsihombe,Androy,Toliara
Mampikony,Sofia,Mahajanga
Maevatanana,Betsiboka,Mahajanga
Tsaratanana,Betsiboka,Mahajanga
Kandreho,Betsiboka,Mahajanga
Besalampy,Melaky,Mahajanga
Beroroha,Atsimo-Andrefana,Toliara
Morombe,Atsimo-Andrefana,Toliara
Ankazoabo,Atsimo-Andrefana,Toliara
Betioky Atsimo,Atsimo-Andrefana,Toliara
Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ambovombe-Androy,Androy,Toliara
Bekily,Androy,Toliara
Taolagnaro,Anosy,Toliara
Betroka,Anosy,Toliara
Amboasary-Atsimo,Anosy,Toliara
Manja,Menabe,Toliara
Morondava,Menabe,Toliara
Mahabo,Menabe,Toliara
Belo Sur Tsiribihina,Menabe,Toliara
Miandrivazo,Menabe,Toliara
Antalaha,Sava,Antsiranana
Sambava,Sava,Antsiranana
Andapa,Sava,Antsiranana
Vohemar,Sava,Antsiranana
Antsiranana II,Diana,Antsiranana
Antsiranana I,Diana,Antsiranana
Ambilobe,Diana,Antsiranana
Nosy-Be,Diana,Antsiranana
Ambanja,Diana,Antsiranana
