region,province
Analamanga,Antananarivo
Bongolava,Antananarivo
Itasy,Antananarivo
Atsimo-Andrefana,Toliara
Ihorombe,Fianarantsoa
Diana,Antsiranana
Atsimo-Atsinanana,Fianarantsoa
Alaotra-Mangoro,Toamasina
Androy,Toliara
Melaky,Mahajanga
Sava,Antsiranana
Matsiatra Ambony,Fianarantsoa
Sofia,Mahajanga
Menabe,Toliara
Analanjirofo,Toamasina
Fitovinany,Fianarantsoa
Anosy,Toliara
Vakinankaratra,Antananarivo
Ambatosoa,Toamasina
Vatovavy,Fianarantsoa
Boeny,Mahajanga
Atsinanana,Toamasina
Amoron'i Mania,Fianarantsoa
Betsiboka,Mahajanga
